"filename", "language", "JavaScript", "XML", "Python", "CSS", "JSON", "YAML", "Markdown", "Log", "HTML", "comment", "blank", "total"
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseKiln.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseKilns.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebasePreferences.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseProject.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseProjects.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseSegment.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseSegments.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseTemplateFiring.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseTemplateFirings.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseTemplateSegments.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseUserData.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/jules/Documents/node/kiln-client/src/hooks/useFirebaseUsers.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"/Users/jules/Documents/node/kiln-client/src/hooks/usePending.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/jules/Documents/node/kiln-client/src/index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/jules/Documents/node/kiln-client/src/index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"/Users/jules/Documents/node/kiln-client/src/logo.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/jules/Documents/node/kiln-client/src/parseTemplateData.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 6, 39
"/Users/jules/Documents/node/kiln-client/src/reducers/alertReducer.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/jules/Documents/node/kiln-client/src/reducers/authReducer.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5, 77
"/Users/jules/Documents/node/kiln-client/src/reducers/fakeUIDReducer.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/jules/Documents/node/kiln-client/src/reducers/firingReducer.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 48
"/Users/jules/Documents/node/kiln-client/src/reducers/index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/jules/Documents/node/kiln-client/src/reducers/kilnReducer.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/jules/Documents/node/kiln-client/src/reducers/pendingReducer.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"/Users/jules/Documents/node/kiln-client/src/reducers/preferencesReducer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/jules/Documents/node/kiln-client/src/reducers/projectReducer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/jules/Documents/node/kiln-client/src/reducers/segmentReducer.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/jules/Documents/node/kiln-client/src/root.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 21
"/Users/jules/Documents/node/kiln-client/src/serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 142
"/Users/jules/Documents/node/kiln-client/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/jules/Documents/node/kiln-client/src/store.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"/Users/jules/Documents/node/kiln-client/src/template_data.json", "JSON", 0, 0, 0, 0, 591, 0, 0, 0, 0, 0, 0, 591
"/Users/jules/Documents/node/kiln-client/ui-debug.log", "Log", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"Total", "-", 5302, 53, 31, 45, 20927, 22, 37, 3, 22, 554, 713, 27709
