Date : 2021-03-08 19:59:24
Directory : /Users/jules/Documents/node/kiln-client
Total : 108 files,  26442 codes, 554 comments, 713 blanks, all 27709 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/jules/Documents/node/kiln-client/src/components/FiringEditPage.js                  | JavaScript |         35 |          1 |          6 |         42 |
| /Users/jules/Documents/node/kiln-client/src/components/FiringFavouriteCopyConfirmPage.js  | JavaScript |         99 |          0 |          9 |        108 |
| /Users/jules/Documents/node/kiln-client/src/components/FiringFavouriteCreatePage.js       | JavaScript |         55 |          0 |          4 |         59 |
| /Users/jules/Documents/node/kiln-client/src/components/FiringForm.js                      | JavaScript |         53 |          0 |          9 |         62 |
| /Users/jules/Documents/node/kiln-client/src/components/FiringGraph.js                     | JavaScript |        155 |         37 |          9 |        201 |
| /Users/jules/Documents/node/kiln-client/src/components/FiringShowPage.js                  | JavaScript |        257 |         12 |         24 |        293 |
| /Users/jules/Documents/node/kiln-client/src/components/FiringTemplateCopyConfirmPage.js   | JavaScript |        112 |          2 |         12 |        126 |
| /Users/jules/Documents/node/kiln-client/src/components/Header.js                          | JavaScript |         19 |          0 |          4 |         23 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnCard.js                        | JavaScript |         15 |          0 |          5 |         20 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnCreatePage.js                  | JavaScript |         19 |          1 |          5 |         25 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnDeletePage.js                  | JavaScript |         72 |          0 |          8 |         80 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnEditPage.js                    | JavaScript |         27 |          0 |          7 |         34 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnForm.js                        | JavaScript |         90 |          1 |         11 |        102 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnShowPage.js                    | JavaScript |         33 |          0 |          5 |         38 |
| /Users/jules/Documents/node/kiln-client/src/components/KilnsListPage.js                   | JavaScript |         23 |          0 |          7 |         30 |
| /Users/jules/Documents/node/kiln-client/src/components/LoginButton.js                     | JavaScript |         29 |          3 |          5 |         37 |
| /Users/jules/Documents/node/kiln-client/src/components/LoginForm.js                       | JavaScript |         42 |          1 |          6 |         49 |
| /Users/jules/Documents/node/kiln-client/src/components/LoginPage.js                       | JavaScript |         48 |          2 |          7 |         57 |
