000009,D
000013,D
000016,D
000024,C
000025,C
000034,C
000100,C
000101,C
000102,C
000104,B
000108,B
000112,B
000113,B
000114,B
000116,B
000117,B
000118,C
000119,D
000120,C
000124,C
000125,C
000126,C
000127,E
000131,D
000132,B
000136,B
000137,B
000138,D
000139,D
000141,B
000142,F
000143,B
000144,B
000145,B
000146,B
000147,C
000148,C
000161,B
000164,B
000203,C
000206,C
000207,C
000208,C
000212,B
000216,B
000217,B
000220,C
000221,C
000222,C
000224,C
000225,C
000227,C
000236,B
000241,C
000243,C
000301,F
000303,C
000304,C
000305,F
000309,D
000310,D
000312,B
000313,C
000320,C
000321,C
000329,C
000332,F
000334,F
000336,B
000337,C
000345,C
000349,B
000403,D
000420,D
000421,E
000459,E
000920,C
001009,D
001015,C
001016,C
001019,D
001022,B
001025,C
001100,?
001101,A
001105,B
001107,B
001108,B
001109,B
001112,B
001114,B
001116,B
001118,B
001119,C
001120,C
001122,C
001125,C
001126,C
001128,B
001129,B
001137,B
001138,B
001140,E
001141,B
001145,B
001164,B
001176,?
001205,F
001207,B
001215,F
001217,C
001226,C
001228,B
001229,B
001232,F
001234,F
001241,B
001242,?
001246,C
001305,F
001311,G
001320,C
001321,F
001322,C
001332,G
001334,G
001342,G
001401,B
001405,B
001406,B
001408,B
001409,B
001412,B
001414,B
001416,B
001417,B
001419,C
001422,C
001422,C
001426,C
001428,B
001429,B
001437,B
001439,B
001442,E
001444,B
001449,B
001464,B
001506,B
001514,B
001517,B
001528,B
001701,H
001707,H
001714,H
001717,H
001806,B
001807,B
001808,C
001812,D
001814,B
001816,B
001818,C
001819,?
001820,D
001821,F
001823,F
001824,F
001826,C
001827,C
001829,C
001831,F
001834,D
001837,C
001841,B
001842,E
001844,D
001845,B
001857,D
001858,D
001859,F
001864,C
001867,C
001877,B
001917,B
001920,D
001932,F
001934,F
001948,F
001964,D
001977,D
002020,B
002024,B
002026,B
002037,B
002047,B
002064,B
002100,B
002105,B
002107,B
002108,B
002109,B
002112,B
002116,B
002121,C
002123,C
002124,C
002125,C
002128,B
002129,B
002130,B
002137,B
002140,D
002140,D
002146,C
002164,C
002176,?
002209,B
002212,C
002213,?
002218,C
002237,?
002249,C
002250,C
002302,C
002304,B
002305,C
002310,E
002311,F
002312,B
002416,B
002537,C
002941,C
002964,C
002971,E
003022,?
003026,K
003045,K
003086,C
003100,C
003116,C
003123,C
003126,K
003203,C
003212,C
003328,E
003334,F
003345,K
003346,K
003501,C
004010,E
004011,E
004014,E
004110,E
004111,E
004112,E
004113,E
004114,E
004116,E
004117,E
004118,E
004119,E
004121,E
004128,E
004136,E
004100,D
004151,D
004152,D
004158,D
004171,D
004400,D
004414,D
004424,D
004437,D
004102,E
004202,D
004302,D
004402,D
004200,E
004211,E
004212,E
004215,E
004216,E
004217,E
004218,E
004219,E
004220,E
004223,E
004224,E
004229,E
004234,E
004237,E
004242,E
004247,E
006010,D
006013,D
006045,D
006207,?
006210,E
006212,D
006218,D
006231,D
006247,D
006264,D
006323,E
006336,E
006343,E
006446,D
006446,D
006467,?
008418,?
