"filename", "language", "JSON with Comments", "Log", "Python", "Markdown", "JSON", "CSS", "JavaScript", "HTML", "TypeScript", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\micro\git\kiln-web\src\bartlett_idle_kiln_example.json", "JSON", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\micro\git\kiln-web\src\bartlett_kiln_firing_example.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\micro\git\kiln-web\src\bartlett_kiln_firing_example2.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\micro\git\kiln-web\src\bartlett_kiln_firing_example_complete.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\micro\git\kiln-web\src\components\AboutPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 7, 183
"c:\Users\micro\git\kiln-web\src\components\DatabaseIntegrity.js", "JavaScript", 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 39, 12, 312
"c:\Users\micro\git\kiln-web\src\components\FavouriteFiringsListPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\micro\git\kiln-web\src\components\FiringCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 3, 21
"c:\Users\micro\git\kiln-web\src\components\FiringCreatePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\micro\git\kiln-web\src\components\FiringDeletePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 9, 71
"c:\Users\micro\git\kiln-web\src\components\FiringEditPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 6, 44
"c:\Users\micro\git\kiln-web\src\components\FiringExportPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 10, 129
"c:\Users\micro\git\kiln-web\src\components\FiringFavouriteCopyConfirmPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 9, 111
"c:\Users\micro\git\kiln-web\src\components\FiringFavouriteCreatePage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 4, 59
"c:\Users\micro\git\kiln-web\src\components\FiringForm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 9, 61
"c:\Users\micro\git\kiln-web\src\components\FiringGraph.js", "JavaScript", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 40, 11, 217
"c:\Users\micro\git\kiln-web\src\components\FiringShowPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 24, 24, 363
"c:\Users\micro\git\kiln-web\src\components\FiringTemplateCopyConfirmPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 2, 12, 126
"c:\Users\micro\git\kiln-web\src\components\Header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
